Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
133,"M Francoeur, MP Mengüç, R Vaillon","Solution of near-field thermal radiation in one-dimensional layered media using dyadic Green's functions and the scattering matrix method",2009,"Journal of Quantitative Spectroscopy …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022407309001873","https://scholar.google.com/scholar?cites=2069390539262018584&as_sdt=5,33&sciodt=0,33&hl=en&num=20",37,"2018-12-02","HTML","","","",,,,,133,14.78,44,3,9
128,"SA Biehs, E Rousseau, JJ Greffet","Mesoscopic description of radiative heat transfer at the nanoscale",2010,"Physical review letters","APS","https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.105.234301","https://scholar.google.com/scholar?cites=12015635601326466922&as_sdt=5,33&sciodt=0,33&hl=en&num=20",38,"2018-12-02","","","","",,,,,128,16.00,43,3,8
125,"G Chen, D Borca-Tasciuc…","Nanoscale heat transfer",2004,"Encyclopedia …","American Scientific Publishers …","","https://scholar.google.com/scholar?cites=14371195997240867634&as_sdt=5,33&sciodt=0,33&hl=en&num=20",39,"2018-12-02","CITATION","","","",,,,,125,8.93,42,3,14
145,"K Kim, B Song, V Fernández-Hurtado, W Lee, W Jeong…","Radiative heat transfer in the extreme near field",2015,"Nature","nature.com","https://www.nature.com/articles/nature16070","https://scholar.google.com/scholar?cites=12984414715265307481&as_sdt=5,33&sciodt=0,33&hl=en&num=20",40,"2018-12-02","","","","",,,,,145,48.33,24,6,3
131,"B Song, Y Ganjeh, S Sadat, D Thompson…","Enhancement of near-field radiative heat transfer using polar dielectric thin films",2015,"Nature …","nature.com","https://www.nature.com/nnano/journal/v10/n3/abs/nnano.2015.6.html","https://scholar.google.com/scholar?cites=12535469936152364917&as_sdt=5,33&sciodt=0,33&hl=en&num=20",41,"2018-12-02","","","","",,,,,131,43.67,26,5,3
122,"M Francoeur, MP Mengüç","Role of fluctuational electrodynamics in near-field radiative heat transfer",2008,"Journal of Quantitative Spectroscopy and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022407307002427","https://scholar.google.com/scholar?cites=4552755524882336521&as_sdt=5,33&sciodt=0,33&hl=en&num=20",42,"2018-12-02","HTML","","","",,,,,122,12.20,61,2,10
126,"B Guha, C Otey, CB Poitras, S Fan, M Lipson","Near-field radiative cooling of nanostructures",2012,"Nano letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/nl301708e","https://scholar.google.com/scholar?cites=15645864235691751980&as_sdt=5,33&sciodt=0,33&hl=en&num=20",43,"2018-12-02","","","","",,,,,126,21.00,25,5,6
117,"CH Mastrangelo, JHJ Yeh…","Electrical and optical characteristics of vacuum-sealed polysilicon microlamps",1992,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/137316/","https://scholar.google.com/scholar?cites=3341656352130652613&as_sdt=5,33&sciodt=0,33&hl=en&num=20",44,"2018-12-02","","","","",,,,,117,4.50,39,3,26
116,"SA Biehs, P Ben-Abdallah, FSS Rosa, K Joulain…","Nanoscale heat flux between nanoporous materials",2011,"Optics …","osapublishing.org","https://www.osapublishing.org/abstract.cfm?uri=oe-19-S5-A1088","https://scholar.google.com/scholar?cites=4315255469550522536&as_sdt=5,33&sciodt=0,33&hl=en&num=20",45,"2018-12-02","","","","",,,,,116,16.57,23,5,7
113,"SV Rotkin, V Perebeinos, AG Petrov, P Avouris","An essential mechanism of heat dissipation in carbon nanotube electronics",2009,"Nano letters","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/nl803835z","https://scholar.google.com/scholar?cites=7135029802942568235&as_sdt=5,33&sciodt=0,33&hl=en&num=20",46,"2018-12-02","","","","",,,,,113,12.56,28,4,9
117,"Y Guo, Z Jacob","Thermal hyperbolic metamaterials",2013,"Optics express","osapublishing.org","https://www.osapublishing.org/abstract.cfm?uri=oe-21-12-15014","https://scholar.google.com/scholar?cites=4349383986894881818&as_sdt=5,33&sciodt=0,33&hl=en&num=20",47,"2018-12-02","","","","",,,,,117,23.40,59,2,5
109,"M Francoeur, MP Mengüç…","Spectral tuning of near-field radiative heat flux between two thin silicon carbide films",2010,"Journal of Physics D …","iopscience.iop.org","http://iopscience.iop.org/article/10.1088/0022-3727/43/7/075501/meta","https://scholar.google.com/scholar?cites=7256700628410977475&as_sdt=5,33&sciodt=0,33&hl=en&num=20",48,"2018-12-02","","","","",,,,,109,13.63,36,3,8
117,"P Ben-Abdallah, SA Biehs","Phase-change radiative thermal diode",2013,"Applied Physics Letters","aip.scitation.org","https://aip.scitation.org/doi/abs/10.1063/1.4829618","https://scholar.google.com/scholar?cites=9398691775904732842&as_sdt=5,33&sciodt=0,33&hl=en&num=20",49,"2018-12-02","","","","",,,,,117,23.40,59,2,5
100,"R Messina, M Antezza","Scattering-matrix approach to Casimir-Lifshitz force and heat transfer out of thermal equilibrium between arbitrary bodies",2011,"Physical Review A","APS","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.84.042102","https://scholar.google.com/scholar?cites=8757744123098995964&as_sdt=5,33&sciodt=0,33&hl=en&num=20",50,"2018-12-02","","","","",,,,,100,14.29,50,2,7
